,Category,Class,Fuel Type,HIN,Hull Material,Hull Shape,Hull Warranty,Length,Location,Make,Pricing Details,Propulsion Type,Year,make-primary,model,price,year-primary
3290, Deck Boats,Power,Gas,,Fiberglass,Modified Vee,99 year,22',"Middletown, PA",Starcraft,,Single Outboard,2018,Starcraft,MDX 211 OB,Request,2018
3291, Deck Boats,Power,Gas,,Fiberglass,Modified Vee,99 year,22',"Middletown, PA",Starcraft,,Single Outboard,2017,Starcraft,MDX 211 OB,Request,2017
3292, Deck Boats,Power,Gas,,Fiberglass,Modified Vee,99 year,22',"Middletown, PA",Starcraft,,Single Outboard,2017,Starcraft,MDX 211 OB,Request,2017
3293, Deck Boats,Power,Gas,,Fiberglass,Modified Vee,99 year,22',"Middletown, PA",Starcraft,,Single Outboard,2017,Starcraft,MDX 211 E OB,Request,2017
3294, Deck Boats,Power,Gas,,Fiberglass,Modified Vee,99 year,22',"Middletown, PA",Starcraft,,Single Outboard,2017,Starcraft,Star Step 220 OB,Request,2017
3295, Deck Boats,Power,Gas,,Fiberglass,Modified Vee,99 year,22',"Middletown, PA",Starcraft,,Single Outboard,2017,Starcraft,Star Step 221 OB,Request,2017
3296," Deck Boats, Ski and Wakeboard Boats",Power,Gas,,Fiberglass,Modified Vee,99 year,22',"Middletown, PA",Starcraft,,Other,2017,Starcraft,Crossover 230 SCX IO,Request,2017
3297, Deck Boats,Power,Gas,PNYUSF58F717,Fiberglass,Modified Vee,5 year,22',"Ticonderoga, NY",Stingray,,Single Outboard,2017,Stingray,212SC O/B,"$39,715",2017
3298, Bowrider,Power,Gas,RGFMC349H112,Fiberglass,Other,,22',"Lake George, NY",Monterey,,Single Inboard,2012,Monterey,204 FS,"$26,900",2012
3299, Freshwater Fishing,Power,,,Fiberglass,Modified Vee,99 year,22',"Endicott, NY",Lund,,Other,2017,Lund,219 Pro-V GL,Request,2017
3300, Freshwater Fishing,Power,,,Fiberglass,Modified Vee,99 year,22',"Canandaigua, NY",Lund,,Other,2017,Lund,219 Pro-V GL,Request,2017
3301, Freshwater Fishing,Power,,,Fiberglass,Modified Vee,99 year,22',"Brewerton, NY",Lund,,Other,2017,Lund,219 Pro-V GL,Request,2017
3302, Freshwater Fishing,Power,,,Fiberglass,Modified Vee,99 year,22',"New York Mills, NY",Lund,,Other,2017,Lund,219 Pro-V GL,Request,2017
3303, Freshwater Fishing,Power,,,Fiberglass,Modified Vee,99 year,22',"Cape Vincent, NY",Lund,,Other,2017,Lund,219 Pro-V GL,Request,2017
3304, Freshwater Fishing,Power,,,Fiberglass,Modified Vee,99 year,22',"Lake Hopatcong, NJ",Lund,,Other,2017,Lund,219 Pro-V GL,Request,2017
3305, Freshwater Fishing,Power,,,Fiberglass,Modified Vee,99 year,22',"Holmes, PA",Lund,,Other,2017,Lund,219 Pro-V GL,Request,2017
3306, Cuddy Cabin,Power,Gas,,Fiberglass,,,22',"Union Springs, NY",Monterey,,Other,2002,Monterey,218 Cuddy,"$15,450",2002
3307, Bay Boats,Power,,,Aluminum,Flat,,22',"Middletown, PA",SeaArk,,Single Outboard,2018,SeaArk,BX220,Request,2018
3308, Bay Boats,Power,,,Aluminum,Flat,,22',"Middletown, PA",SeaArk,,Single Outboard,2017,SeaArk,BX220,Request,2017
3309, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,22',"Conesus, NY",Harris,,Other,2015,Harris,Cruiser 200,Request,2015
3310, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,22',"Dallas, PA",Lowe,,Other,2017,Lowe,Roughneck 2070 Archer,Request,2017
3311, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,22',"Saugerties, NY",Lowe,,Other,2017,Lowe,Roughneck 2070 Archer,Request,2017
3312, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,22',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,Roughneck 2070 Archer,Request,2017
3313, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,22',"Fort Ann, NY",Lowe,,Other,2017,Lowe,Roughneck 2070 Archer,Request,2017
3314, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,22',"Rosedale, NY",Lowe,,Other,2017,Lowe,Roughneck 2070 Archer,Request,2017
3315, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,22',"Neptune, NJ",Lowe,,Other,2017,Lowe,Roughneck 2070 Archer,Request,2017
3316, Bowrider,Power,Gas,,Fiberglass,Deep Vee,99 year,22',"West Haverstraw, NY",Monterey,,Other,2016,Monterey,204FS,Request,2016
3317, Bowrider,Power,Gas,US-RGFMC816F415,Fiberglass,,,22',"West Haverstraw, NY",Monterey,,Other,2015,Monterey,204FS,Request,2015
3318, Bowrider,Power,Gas,,Fiberglass,Deep Vee,99 year,22',"Lake Wallenpaupack, PA",Monterey,,Other,2017,Monterey,218 Super Sport,Request,2017
3319, Bowrider,Power,Gas,,Fiberglass,Deep Vee,99 year,22',"Lake George, NY",Monterey,,Other,2017,Monterey,218 SS,Request,2017
3320," Deck Boats, Pontoon Boats, Bowrider",Power,Gas,,Fiberglass,,,22',"Lake Hopatcong, NJ",Starcraft,,Other,2015,Starcraft,230 SCX Sport w Tower,"$46,490",2015
3321, Bowrider,Power,Gas,,Fiberglass,Modified Vee,5 year,22',"Mahopac, NY",Stingray,,Other,2018,Stingray,214 LR,Request,2018
3322," Bowrider, Runabouts",Power,Gas,,Fiberglass,Deep Vee,99 year,22',"West Haverstraw, NY",Monterey,,Other,2010,Monterey,194FS,"$21,900",2010
3323," Bowrider, Runabouts",Power,Gas,,Fiberglass,Deep Vee,99 year,22',"Union Springs, NY",Monterey,,Other,2017,Monterey,204 FS,Request,2017
3324, Deck Boats,Power,Gas,,Fiberglass,Deep Vee,99 year,22',"Grand Island, NY",Monterey,,Other,2017,Monterey,204FS,Request,2017
3325," Bowrider, Ski and Wakeboard Boats",Power,Gas,,Fiberglass,Deep Vee,99 year,22',"Grand Island, NY",Monterey,,Other,2013,Monterey,214SS,"$39,995",2013
3326," Bowrider, Runabouts",Power,Gas,,Fiberglass,Deep Vee,99 year,22',"Union Springs, NY",Monterey,,Other,2017,Monterey,218 SS,Request,2017
3327, Bowrider,Power,Gas,,Fiberglass,Deep Vee,99 year,22',"Grand Island, NY",Monterey,,Other,2017,Monterey,218 SS,Request,2017
3328," Ski and Wakeboard Boats, Bowrider",Power,Gas,,Fiberglass,Deep Vee,99 year,22',"Grand Island, NY",Monterey,,Other,2017,Monterey,218 SS,Request,2017
3329, Bowrider,Power,Gas,,Fiberglass,Deep Vee,99 year,22',"Lake George, NY",Monterey,,Other,2017,Monterey,218 SS,Request,2017
3330, Bowrider,Power,Gas,,Fiberglass,Deep Vee,99 year,22',"Union Springs, NY",Monterey,,Other,2017,Monterey,218SS,Request,2017
3331, Bowrider,Power,Gas,,Fiberglass,,,22',"Lake George, NY",Monterey,,Other,2016,Monterey,218SS,"$51,900",2016
3332, Bowrider,Power,Gas,177833,Fiberglass,Modified Vee,99 year,22',"Rochester, NY",Four Winns,,Other,2017,Four Winns,H210,"$45,705",2017
3333, Bowrider,Power,Gas,PFWMT030H617,Fiberglass,Modified Vee,99 year,22',"Lake George, NY",Four Winns,,Other,2017,Four Winns,H210,Request,2017
3334," Bowrider, Runabouts",Power,Gas,PFWMT021G617,Fiberglass,Modified Vee,99 year,22',"Lake George, NY",Four Winns,,Other,2017,Four Winns,H210,Request,2017
3335, Bowrider,Power,Gas,PFWMT022G617,Fiberglass,Modified Vee,99 year,22',"Lake George, NY",Four Winns,,Other,2017,Four Winns,H210SS,Request,2017
3336, Pontoon Boats,Power,Gas,,Fiberglass,,,22',"James Creek, PA",Hurricane,,Other,2017,Hurricane,FD 216 OB,Request,2017
3337, Cuddy Cabin,Power,Gas,MXKB65NGL900,Fiberglass,Other,,22',"Raystown Lake, PA",Maxum,,Single Inboard,2000,Maxum,2100SC,"$8,500",2000
3338, Bass Boats,Power,Gas,BUJ86068K617,Fiberglass,Deep Vee,99 year,22',"Auburn, NY",Nitro,,Single Outboard,2017,Nitro,ZV21 Z-PRO Package,Request,2017
3339, Pontoon Boats,Power,,,Aluminum,Pontoon,,22',"Bolton Landing, NY",Princecraft,,Other,2017,Princecraft,Voyageur 21,Request,2017
3340, Pontoon Boats,Power,,,Aluminum,Pontoon,,22',"Ogdensburg, NY",Princecraft,,Other,2017,Princecraft,Voyageur 21,Request,2017
3341, Bowrider,Power,,,Fiberglass,,,22',"Sodus Point, NY",Robalo,,Other,2016,Robalo,227 DC,"$54,341",2016
3342, Center Consoles,Power,,,Fiberglass,Other,,22',"Philadelphia, PA",Kencraft,,Other,2001,Kencraft,Challenger,"$20,000",2001
3343," Bowrider, Ski and Wakeboard Boats",Power,Gas,US-MB2J4098E717,Fiberglass,Modified Vee,,22',"Elkton, MD",Malibu Boats,,Single Inboard,2017,Malibu Boats,Wakesetter 21 VLX,Request,2017
3344," Ski and Wakeboard Boats, Bowrider",Power,Gas,US-MB2J1810J617,Fiberglass,Modified Vee,,22',"Elkton, MD",Malibu Boats,,Single Inboard,2017,Malibu Boats,Wakesetter 21 VLX,Request,2017
3345," Runabouts, Bowrider",Power,Gas,,Fiberglass,Modified Vee,5 year,22',"Tonawanda, NY",Chaparral,,Other,2004,Chaparral,220 SSi,"$22,900",2004
3346," Runabouts, Bowrider",Power,Gas,,Fiberglass,Deep Vee,99 year,22',"Canandaigua, NY",Crownline,,Other,2008,Crownline,210 LS,"$26,900",2008
3347," Cuddy Cabin, Cruisers",Power,Gas,,Fiberglass,Deep Vee,,22',"Lake George, NY",Four Winns,,Other,1994,Four Winns,215 Sundowner,"$6,995",1994
3348, Cuddy Cabin,Power,Gas,,Fiberglass,Other,,22',"Bloomsbury, NJ",HILINER,,Single Inboard,1974,HILINER,222 GYPSY,"$9,500",1974
3349, Dual Console,Power,Gas,,Fiberglass,Other,,22',"Suffield, CT",Mako,,Single Outboard,2006,Mako,216 Dual Console,"$22,500",2006
3350, Ski and Wakeboard Boats,Power,Gas,,Fiberglass,Modified Vee,,22',"Elkton, MD",Malibu,,Single Inboard,2017,Malibu,Wakesetter 21 VLX,Request,2017
3351, Ski and Wakeboard Boats,Power,Gas,,Fiberglass,Modified Vee,,22',"Tafton, PA",Malibu,,Single Inboard,2010,Malibu,Wakesetter VLX,"$44,950",2010
3352, Ski and Wakeboard Boats,Power,Gas,,Fiberglass,,,22',"Brookfield, CT",Mastercraft,,Single Inboard,2010,Mastercraft,X-25,"$63,995",2010
3353, Pontoon Boats,Power,,,Aluminum,Pontoon,,22',"Bolton Landing, NY",Princecraft,,Other,2017,Princecraft,Vectra 21,Request,2017
3354, Pontoon Boats,Power,,,Aluminum,Pontoon,,22',"Bolton Landing, NY",Princecraft,,Other,2017,Princecraft,Sportfisher 21-2S,Request,2017
3355, Pontoon Boats,Power,,,Aluminum,Pontoon,,22',"Bolton Landing, NY",Princecraft,,Other,2017,Princecraft,Sportfisher 21-4S,Request,2017
3356, Pontoon Boats,Power,,,Aluminum,Pontoon,,22',"Ogdensburg, NY",Princecraft,,Other,2017,Princecraft,Sportfisher 21-2S,Request,2017
3357, Pontoon Boats,Power,,,Aluminum,Pontoon,,22',"Ogdensburg, NY",Princecraft,,Other,2017,Princecraft,Sportfisher 21-4S,Request,2017
3358, Pontoon Boats,Power,,,Aluminum,Pontoon,,22',"Ogdensburg, NY",Princecraft,,Other,2017,Princecraft,Vectra 21,Request,2017
3359, Pontoon Boats,Power,,,Aluminum,Pontoon,,22',"Bolton Landing, NY",Princecraft,,Other,2017,Princecraft,Jazz 210-2S,Request,2017
3360, Pontoon Boats,Power,,,Aluminum,Pontoon,,22',"Ogdensburg, NY",Princecraft,,Other,2017,Princecraft,Jazz 210-2S,Request,2017
3361, Bowrider,Power,,,Fiberglass,,,22',"Allentown, PA",Sea Ray,,Other,2017,Sea Ray,21 SPX,Request,2017
3362, Cuddy Cabin,Power,Gas,,Fiberglass,Other,,22',"Lake George, NY",Sea Ray,,Single Inboard,2001,Sea Ray,21.5 Express,"$13,500",2001
3363, Cuddy Cabin,Power,Gas,,Fiberglass,,,22',"Seaford, NY",Sea Ray,,Other,2006,Sea Ray,Weekender,"$18,990",2006
3364," Center Consoles, Saltwater Fishing",Power,Gas,,Fiberglass,Modified Vee,10 year,22',"Green Brook, NJ",Robalo,,Other,2017,Robalo,R222 Center Console,Request,2017
3365," Saltwater Fishing, Center Consoles",Power,Gas,,Fiberglass,Modified Vee,10 year,22',"Middletown, PA",Robalo,,Other,2014,Robalo,R220 Center Console,Request,2014
3366," Dual Console, Ski and Fish, Bowrider",Power,Gas,,Fiberglass,Modified Vee,10 year,22',"Green Brook, NJ",Robalo,,Other,2017,Robalo,R227 Dual Console,Request,2017
3367," Dual Console, Ski and Fish, Bowrider",Power,Gas,,Fiberglass,Modified Vee,10 year,22',"North East, MD",Robalo,,Other,2017,Robalo,R227 Dual Console,"$54,000",2017
3368," Center Consoles, Saltwater Fishing",Power,Gas,,Fiberglass,Modified Vee,10 year,22',"Green Brook, NJ",Robalo,,Other,2017,Robalo,R222ES,Request,2017
3369," Center Consoles, Saltwater Fishing",Power,Gas,,Fiberglass,Modified Vee,10 year,22',"Green Brook, NJ",Robalo,,Other,2017,Robalo,R222ES,Request,2017
3370," Deck Boats, Ski and Fish",Power,Gas,,Fiberglass,Modified Vee,99 year,22',"Middletown, PA",Starcraft,,Single Outboard,2017,Starcraft,Coastal 2210 OB,Request,2017
3371, Deck Boats,Power,Gas,,Fiberglass,Modified Vee,99 year,22',"Lake Hopatcong, NJ",Starcraft,,Single Outboard,2016,Starcraft,Coastal 2210 OB,"$39,880",2016
3372," Deck Boats, Center Consoles",Power,Gas,,Fiberglass,Modified Vee,99 year,22',"Middletown, PA",Starcraft,,Single Outboard,2017,Starcraft,Star Step 230 OB,Request,2017
3373, Deck Boats,Power,,BUJ93559K617,Fiberglass,Modified Vee,,22',"Hewitt, NJ",Tahoe,"

Base Price: $38,495
Included Options: $4,185
Prep: $495
Freight: $1,250
Your Price: $44,425

",Other,2017,Tahoe,215 Xi,"$44,425",2017
3374, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,99 year,21',"Wrightsville, PA",Avalon,,Single Outboard,2017,Avalon,GS Cruise II - 21',"$27,999",2017
3375, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,99 year,21',"Wrightsville, PA",Avalon,,Single Outboard,2017,Avalon,LSZ Cruise Rear Bench - 22',"$31,999",2017
3376, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,99 year,21',"Wrightsville, PA",Avalon,,Single Outboard,2017,Avalon,LSZ Cruise - 22',"$36,999",2017
3377," Jon Boats, Center Consoles",Power,Gas,BUJ43778F718,Aluminum,Modified Vee,99 year,21',"Harrisburg, PA",Tracker,"

Base Price: $22,295
Included Options: $550
Prep: $295
Freight: $675
Your Price: $23,815

",Other,2018,Tracker,Grizzly 2072 MVX CC,"$23,815",2018
3378," Jon Boats, Aluminum Fish Boats",Power,Gas,BUJ47238G718,Aluminum,Modified Vee,99 year,21',"Harrisburg, PA",Tracker,"

Base Price: $27,295
Included Options: $510
Prep: $295
Freight: $1,050
Your Price: $29,150

",Other,2018,Tracker,Grizzly 2072 CC Sportsman,"$29,150",2018
3379, Jon Boats,Power,,BUJ43215I617,Aluminum,Modified Vee,,21',"Auburn, NY",Tracker,"

Base Price: $26,995
Prep: $295
Freight: $1,050
Your Price: $28,340

",Other,2017,Tracker,Grizzly 2072 MVX CC Sportsman,"$28,340",2017
3380, Jon Boats,Power,,BUJ31327E617,Aluminum,Modified Vee,,21',"Auburn, NY",Tracker,"

Base Price: $21,995
Prep: $295
Freight: $675
Your Price: $22,965

",Other,2017,Tracker,Grizzly 2072 MVX CC,"$22,965",2017
3381, Jon Boats,Power,,BUJ02796E516,Aluminum,Modified Vee,,21',"Temple, PA",Tracker,"

Base Price: $29,795
Prep: $295
Freight: $1,050
Your Price: $31,140

",Other,2016,Tracker,Grizzly 2072 MVX Sportsman,"$31,140",2016
3382," Cuddy Cabin, Sports Fishing Boats",Power,,,Fiberglass,,,21',Bronx,Aquasport,,Other,1999,Aquasport,215 Explorer,"$14,995",1999
3383," Runabouts, Bowrider",Power,Gas,,Fiberglass,,,21',"Chautauqua, NY",Cobalt,,Other,2013,Cobalt,220,"$59,000",2013
3384," Deck Boats, Bowrider",Power,Gas,,Fiberglass,Modified Vee,99 year,21',"Green Brook, NJ",Crownline,,Single Outboard,2017,Crownline,Eclipse E1 XS,Request,2017
3385," Bowrider, Dual Console",Power,Gas,,Fiberglass,Modified Vee,99 year,21',"Brookfield, CT",Crownline,,Single Outboard,2017,Crownline,E1 XS,Request,2017
3386, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Dallas, PA",Lowe,,Other,2017,Lowe,Ultra 200 Cruise,Request,2017
3387, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Saugerties, NY",Lowe,,Other,2017,Lowe,Ultra 200 Cruise,Request,2017
3388, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,Ultra 200 Cruise,Request,2017
3389, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Fort Ann, NY",Lowe,,Other,2017,Lowe,Ultra 200 Cruise,Request,2017
3390, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Rosedale, NY",Lowe,,Other,2017,Lowe,Ultra 200 Cruise,Request,2017
3391, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Neptune, NJ",Lowe,,Other,2017,Lowe,Ultra 200 Cruise,Request,2017
3392, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Dallas, PA",Lowe,,Other,2017,Lowe,Ultra 202 Fish & Cruise,Request,2017
3393, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Saugerties, NY",Lowe,,Other,2017,Lowe,Ultra 202 Fish & Cruise,Request,2017
3394, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,Ultra 202 Fish & Cruise,Request,2017
3395, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Fort Ann, NY",Lowe,,Other,2017,Lowe,Ultra 202 Fish & Cruise,Request,2017
3396, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Rosedale, NY",Lowe,,Other,2017,Lowe,Ultra 202 Fish & Cruise,Request,2017
3397, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Neptune, NJ",Lowe,,Other,2017,Lowe,Ultra 202 Fish & Cruise,Request,2017
3398, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Dallas, PA",Lowe,,Other,2017,Lowe,SF212 Sport Fish,Request,2017
3399, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Dallas, PA",Lowe,,Other,2017,Lowe,SF214 Sport Fish,Request,2017
3400, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Saugerties, NY",Lowe,,Other,2017,Lowe,SF214 Sport Fish,Request,2017
3401, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Saugerties, NY",Lowe,,Other,2017,Lowe,SF212 Sport Fish,Request,2017
3402, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,SF212 Sport Fish,Request,2017
3403, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,SF214 Sport Fish,Request,2017
3404, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Fort Ann, NY",Lowe,,Other,2017,Lowe,SF212 Sport Fish,Request,2017
3405, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Fort Ann, NY",Lowe,,Other,2017,Lowe,SF214 Sport Fish,Request,2017
3406, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Rosedale, NY",Lowe,,Other,2017,Lowe,SF212 Sport Fish,Request,2017
3407, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Rosedale, NY",Lowe,,Other,2017,Lowe,SF214 Sport Fish,Request,2017
3408, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Neptune, NJ",Lowe,,Other,2017,Lowe,SF212 Sport Fish,Request,2017
3409, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Neptune, NJ",Lowe,,Other,2017,Lowe,SF214 Sport Fish,Request,2017
3410, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Dallas, PA",Lowe,,Other,2017,Lowe,SS210 RFL,Request,2017
3411, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Saugerties, NY",Lowe,,Other,2017,Lowe,SS210 RFL,Request,2017
3412, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,SS210 RFL,Request,2017
3413, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Fort Ann, NY",Lowe,,Other,2017,Lowe,SS210 RFL,Request,2017
3414, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Rosedale, NY",Lowe,,Other,2017,Lowe,SS210 RFL,Request,2017
3415, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Neptune, NJ",Lowe,,Other,2017,Lowe,SS210 RFL,Request,2017
3416, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Dallas, PA",Lowe,,Other,2017,Lowe,SS210,Request,2017
3417, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Saugerties, NY",Lowe,,Other,2017,Lowe,SS210,Request,2017
3418, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,SS210,Request,2017
3419, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Fort Ann, NY",Lowe,,Other,2017,Lowe,SS210,Request,2017
3420, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Rosedale, NY",Lowe,,Other,2017,Lowe,SS210,Request,2017
3421, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,21',"Neptune, NJ",Lowe,,Other,2017,Lowe,SS210,Request,2017
3422," Saltwater Fishing, Center Consoles, Freshwater Fishing",Power,Gas,,Fiberglass,Modified Vee,99 year,21',"Trenton, NJ",Sea Fox,,Other,2008,Sea Fox,216 Center Console,"$34,995",2008
3423," Bowrider, Runabouts",Power,Gas,,Fiberglass,,,21',"James Creek, PA",Yamaha Marine,,Other,2017,Yamaha Marine,AR210,Request,2017
3424," Bowrider, Runabouts",Power,Gas,,Fiberglass,,,21',"James Creek, PA",Yamaha Marine,,Twin Inboard,2017,Yamaha Marine,AR210,Request,2017
3425, Bowrider,Power,Gas,,Fiberglass,,,21',"James Creek, PA",Yamaha Marine,,Other,2017,Yamaha Marine,SX210,Request,2017
3426," Saltwater Fishing, Center Consoles",Power,,,Fiberglass,Modified Vee,10 year,21',"Island Park, NY",Sailfish,,Other,2011,Sailfish,218 CC,"$39,999",2011
3427," Center Consoles, Saltwater Fishing, Sports Fishing Boats",Power,Gas,YSIH1025K617,Fiberglass,Modified Vee,10 year,21',"North East, MD",Sailfish,,Single Outboard,2017,Sailfish,220 CC,Request,2017
3428," Center Consoles, Saltwater Fishing, Sports Fishing Boats",Power,Gas,YSIH1025K617,Fiberglass,Modified Vee,10 year,21',"North East, MD",Sailfish,,Single Outboard,2017,Sailfish,220 CC,Request,2017
3429, Bowrider,Power,Gas,,Fiberglass,Modified Vee,99 year,21',"Middletown, PA",Starcraft,,Other,2017,Starcraft,Limited 2119 RE IO,Request,2017
3430, Pontoon Boats,Power,Gas,,Aluminum,,,21',"James Creek, PA",Sweetwater,,Other,2017,Sweetwater,SW 2086,Request,2017
3431," Jet Boats, Ski and Wakeboard Boats",Power,Gas,,Fiberglass,Modified Vee,5 year,21',"Stony Point, NY",Yamaha,,Twin Inboard,2018,Yamaha,212X,"$58,499",2018
3432," Jet Boats, Ski and Wakeboard Boats",Power,Gas,,Fiberglass,Modified Vee,5 year,21',"Derby, NY",Yamaha,,Twin Inboard,2017,Yamaha,212X,"$57,999",2017
3433," Jet Boats, Bowrider",Power,Other,YAMC0417H617,Fiberglass,Modified Vee,,21',"Bridgeport, NY",Yamaha,,Other,2017,Yamaha,AR210,"$45,049",2017
3434," Jet Boats, Bowrider",Power,Other,YAMC0142I617,Fiberglass,Modified Vee,,21',"Bridgeport, NY",Yamaha,,Other,2017,Yamaha,SX210,"$39,999",2017
3435, Deck Boats,Power,Gas,,Fiberglass,Modified Vee,,21',"Mahopac, NY",Stingray,,Other,2014,Stingray,212 SC,"$29,500",2014
3436, Bass Boats,Power,Gas,BUJ85031F617,Fiberglass,Modified Vee,99 year,21',"Auburn, NY",Nitro,"

Base Price: $55,495
Included Options: $3,205
Prep: $495
Freight: $900
Your Price: $60,095

",Single Outboard,2017,Nitro,Z21 Z-Pro High Performance,"$60,095",2017
3437, Bass Boats,Power,Gas,BUJ85497H617,Fiberglass,Modified Vee,99 year,21',"Harrisburg, PA",Nitro,"

Base Price: $55,495
Savings: $4,500
Special Price: $50,995
Included Options: $1,705
Prep: $495
Freight: $900
Your Price: $54,095

",Other,2017,Nitro,Z21 Z-Pro High Performance,"$54,095",2017
3438, Bass Boats,Power,Gas,BUJ82058J516,Fiberglass,Modified Vee,99 year,21',"Utica, NY",Nitro,,Single Outboard,2016,Nitro,Z21 Z-Pro High Performance,Request,2016
3439, Bass Boats,Power,Gas,BUJ84577D617,Fiberglass,Modified Vee,99 year,21',"Harrisburg, PA",Nitro,"

Base Price: $55,495
Savings: $4,500
Special Price: $50,995
Included Options: $1,705
Prep: $495
Freight: $900
Your Price: $54,095

",Other,2017,Nitro,Z21,"$54,095",2017
3440, Deck Boats,Power,,,Aluminum,Pontoon,,21',"Middletown, PA",Fisher,,Other,2002,Fisher,Freedom 200 DLX,"$15,500",2002
